สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน
"ตรงแผน","520004088603","B07496","สาขา โรบินสันจันทบุรี","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 09:31:02","2024-07-03 11:03:24"
"ยังไม่เข้า","520004088605","B07497","สาขา ปตท.สูงเม่น","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004088608","B07507","สาขา ตลาดน้ำดำเนินสะดวก","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088612","B07512","สาขา ม.ไทยสมบูรณ์ จุด 2","BN","BN6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004088613","B07513","สาขา ตลาดพงษ์ทรัพย์ (จรัญฯ 46)","BG","BG1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088617","B07522","สาขา นัมเบอร์วัน ราม 2 จุด 1","BS","BS7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088619","B07523","สาขา นัมเบอร์วัน ราม 2 จุด 2","BS","BS7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088622","B07533","สาขา เนอวานา","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004088627","B07545","สาขา ชัยบุรี","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004088628","B07552","สาขา สว่างอารมณ์","RC","RC2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ตรงแผน","520004088629","B07553","สาขา บางสวรรค์","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","2024-07-07 13:05:02","2024-07-07 13:29:11"
"ยังไม่เข้า","520004088630","B07556","สาขา ลาซาล 32","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ตรงแผน","520004088631","B07561","สาขา ปตท.ริมเมย (แม่สอด)","RN","RN6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-01 17:11:37","2024-07-01 17:42:01"
"ยังไม่เข้า","520004088632","B07566","สาขา โรงพยาบาลเอกชัย","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ตรงแผน","520004088634","B07577","สาขา ปตท.บ้านนาเดิม","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-08 13:55:22","2024-07-08 14:26:47"
"ตรงแผน","520004088638","B07585","สาขา ศิลาพรวิลล์","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-03 16:40:44","2024-07-03 17:23:53"
"ยังไม่เข้า","520004088639","B07586","สาขา ดอนขวาง","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ตรงแผน","520004088641","B07589","สาขา สุขุมวิท 115","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-08 23:03:52","2024-07-09 00:12:33"
"ตรงแผน","520004088645","B07608","สาขา PTTOR สหกรณ์การเกษตรกระทุ่มแบน","BW","BW9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-01 22:54:01","2024-07-01 23:41:18"
"ยังไม่เข้า","520004088646","B07609","สาขา หมู่บ้านเกื้อกูล","BN","BN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ตรงแผน","520004088649","B07614","สาขา นิรันดร์เรสซิเดนท์ จุด 9","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-06 04:23:38","2024-07-06 05:19:20"
"ตรงแผน","520004088650","B07621","สาขา PTTOR ไพรบึง","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-05 17:16:26","2024-07-05 19:21:31"
"ยังไม่เข้า","520004088651","B07635","สาขา ดีเค 26","BW","BW6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","",""
"ตรงแผน","520004088652","B07641","สาขา มหาราช 3","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-04 17:11:41","2024-07-04 18:38:15"
"ยังไม่เข้า","520004088653","B07642","สาขา ชุมชนนพรัตน์ธารา","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-13","",""
"ยังไม่เข้า","520004088654","B07644","สาขา พหลโยธิน 13","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004088655","B07645","สาขา ชุมชนวัดจุฬามณี","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-13","",""
"ยังไม่เข้า","520004088656","B07646","สาขา PTTOR ทรัพย์ไพบูลย์ (กำแพงเพชร)","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004088657","B07650","สาขา ประชาอุทิศ 28","BS","BS2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004088659","B07653","สาขา ตลาดซับสมอทอด","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088660","B07654","สาขา ชุมชนบ้านกร่าง","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004088661","B07657","สาขา PTTOR เมืองเหนือศรีสะเกษ","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004088662","B07660","สาขา PTTOR สายเอเซียบางปะหัน","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004088663","B07661","สาขา สีตบุตร 2","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004088664","B07665","สาขา อ่าวอุดม ซอย 5","REU","REU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ยังไม่เข้า","520004088665","B07667","สาขา นัมเบอร์วัน ราม 2 จุด 3","BS","BS7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088668","B07677","สาขา ปาร์คแลนด์ (บางนา - ตราด กม. 5 )","BS","BS7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004088672","B07688","สาขา ม.ราชภัฎสุราษฎร์ จุด 2","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004088673","B07690","สาขา หนองโพ","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004088675","B07691","สาขา กิตติวรรณ จุด 2","BN","BN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ยังไม่เข้า","520004088677","B07694","สาขา สามแยกในลึก","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-19","",""
"ยังไม่เข้า","520004088681","B07698","สาขา แยกปากท่อ","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ตรงแผน","520004088683","B07735","สาขา แม่ขรี 2","RSL","RSL8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-05 12:39:19","2024-07-05 14:42:13"
"ตรงแผน","520004088687","B07745","สาขา น้อมจิตต์ (เพชรบุรี 7)","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-07 02:53:04","2024-07-07 03:00:26"
"ยังไม่เข้า","520004088688","B07748","สาขา พุทธบูชา 39","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004088690","B07749","สาขา ลุมพินีทาวเวอร์","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004088692","B07750","สาขา รพ.ค่ายสมเด็จพระนเรศวรมหาราช","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ยังไม่เข้า","520004088693","B07751","สาขา คานหาม - ถนนโรจนะ","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004088699","B07759","สาขา PTTOR หนองไผ่","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004088700","B07760","สาขา ปตท.ดอนทอง (พิษณุโลก)","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ยังไม่เข้า","520004088702","B07765","สาขา ด่านสำโรง ซอย 50","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004088705","B07770","สาขา เบิกไพร","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ยังไม่เข้า","520004088707","B07772","สาขา ปตท.บายพาสสระบุรี (ตะวันออก)","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088708","B07773","สาขา พิมลฉัตรเซ็นเตอร์ (วิเชียรบุรี)","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ยังไม่เข้า","520004088710","B07775","สาขา อร่ามศรี","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ตรงแผน","520004088712","B07776","สาขา มงคลทับคล้อ","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","2024-07-07 13:19:24","2024-07-07 14:58:59"
"ตรงแผน","520004088714","B07778","สาขา PTTOR สว่างวีระวงศ์","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-05 12:09:42","2024-07-05 14:22:52"
"ยังไม่เข้า","520004088715","B07782","สาขา เทศบาลประทาย","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004088717","B07787","สาขา PTTOR ม่วงสามสิบ - อำนาจ","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004088718","B07790","สาขา คลองพน","RSL","RSL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ตรงแผน","520004088723","B07796","สาขา เคียนซา ( ปลายริก )","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 11:15:57","2024-07-06 12:08:48"
"ยังไม่เข้า","520004088724","B07808","สาขา พุทธมณฑลสาย 1","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088725","B07810","สาขา LOCAL ROAD","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004088727","B07824","สาขา เจริญราษฎร์ 7","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ตรงแผน","520004088728","B07825","สาขา ไทธานี 35","BN","BN6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-09 12:10:30","2024-07-09 13:27:14"
"ยังไม่เข้า","520004088729","B07827","สาขา แคมป์สน","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004088730","B07829","สาขา พระอินทร์ ซ.คอนโด","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004088731","B07830","สาขา ปตท.น้ำอ้อมกันทรลักษ์","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004088732","B07841","สาขา ติวานนท์ 27","BN","BN3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ตรงแผน","520004088734","B07842","สาขา ซอยอยู่ดี ( ศรีวารีน้อย )","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-04 23:33:07","2024-07-04 23:54:26"
"ยังไม่เข้า","520004088735","B07844","สาขา อำเภอภาชี","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004088736","B07847","สาขา ปากพะยูน","RSL","RSL8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ตรงแผน","520004088737","B07849","สาขา ปตท. ห้วยแถลง","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-06 13:21:08","2024-07-06 13:40:11"
"ยังไม่เข้า","520004088738","B07853","สาขา พงษ์ศิริชัย 1","BG","BG8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ตรงแผน","520004088739","B07862","สาขา ชุมชนชาวดิน","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-08 09:21:21","2024-07-08 11:02:47"
"ยังไม่เข้า","520004088741","B07876","สาขา ปตท. ชยางกูร","NEL","NEL5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004088743","B07880","สาขา PTTOR หน้าค่ายพ่อขุนผาเมือง","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004088744","B07882","สาขา PTTOR วัดเพลง","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004088747","B07885","สาขา ปตท.สอยดาว","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ตรงแผน","520004088749","B07894","สาขา ตลาดเทศบาลวังชมภู","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 12:43:19","2024-07-03 15:36:58"
"ยังไม่เข้า","520004088750","B07895","สาขา หน้า รพ.โพธาราม","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ตรงแผน","520004088753","B07901","สาขา ชุมพวง","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-06 12:43:45","2024-07-06 13:54:49"
"ยังไม่เข้า","520004088754","B07902","สาขา PTTOR คลองใหญ่","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004088755","B07905","สาขา ตลาดปลาแม่กลอง","BW","BW7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ตรงแผน","520004088758","B07915","สาขา ตลาดเชโก้ห้วยปราบ","REU","REU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-07 11:23:01","2024-07-07 12:30:35"
"ยังไม่เข้า","520004088761","B07926","สาขา สามเสน 2 จุด 2","BG","BG2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004088764","B07933","สาขา ชุมชนนเรศวร (อยุธยา)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ยังไม่เข้า","520004088765","B07937","สาขา สะเดา 2","RSL","RSL6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004088767","B07939","สาขา วังชิ้น","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004088768","B07940","สาขา หลักห้า (ดำเนินสะดวก)","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088769","B07941","สาขา ม.ทิพย์พิมาน","BG","BG5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004088771","B07944","สาขา สุขุมวิท 89","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ตรงแผน","520004088774","B07950","สาขา ตลาดบัวขาว (บัวใหญ่)","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 14:34:26","2024-07-06 15:43:34"
"ยังไม่เข้า","520004088775","B07957","สาขา อยุธยาคันทรีโฮม (ผักไห่)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088776","B07958","สาขา ชุมชนหัวรอ","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004088779","B07966","สาขา เนินมะปราง","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004088782","B07975","สาขา เคหะสุราษฏร์","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004088783","B08000","สาขา บ้านใน","RSU","RSU1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ตรงแผน","520004088784","B08001","สาขา โกลด์เดนท์ - เฮอริเทรด","BG","BG9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","2024-07-09 02:43:14","2024-07-09 03:54:15"
"ยังไม่เข้า","520004088785","B08003","สาขา พัฒนาการ 65 (ม.ผาสุก)","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088786","B08004","สาขา เขาคิชฌกูฏ ( จันทบุรี )","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004088788","B08009","สาขา PTTOR กิ่งแก้ว 40","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-01","2024-07-01 23:13:30","2024-07-02 00:28:51"
"ยังไม่เข้า","520004088791","B08026","สาขา ด่านสำโรง 28","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004088792","B08027","สาขา ชุมชนท่าเรือจ้าง","REL","REL6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004088793","B08035","สาขา เลิศมงคลทองคอนโด","BS","BS9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004088794","B08039","สาขา พึ่งมี 17","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-06 01:10:36","2024-07-06 01:52:43"
"ยังไม่เข้า","520004088795","B08040","สาขา บางนา-ตราด ซ.19","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ตรงแผน","520004088797","B08042","สาขา บางกระดี่ 32","BW","BW6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-05 12:34:28","2024-07-05 12:47:55"
"ยังไม่เข้า","520004088799","B08047","สาขา นวนครวิลล่า จุด 2","BN","BN6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004088802","B08050","สาขา หน้าศูนย์ราชการหล่มสัก","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004088803","B08051","สาขา คลองน้ำไหล","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004088805","B08052","สาขา พฤกษาวิลล์","BG","BG7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004088806","B08053","สาขา ชุมชนพระธาตุช่อแฮ","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ตรงแผน","520004088808","B08063","สาขา ตลาดใหม่สำโรง จุด 2","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","2024-07-09 02:12:30","2024-07-09 03:55:18"
"ยังไม่เข้า","520004088809","B08073","สาขา ตลาดนครไทย","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004088810","B08077","สาขา ร่วมใจประเสริฐ","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004088811","B08085","สาขา บ้านน้ำกระจาย","RSL","RSL5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 12:27:45","2024-07-03 13:45:32"
"ยังไม่เข้า","520004088812","B08087","สาขา PTTOR พระราม 2 กม.22","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-27","",""
"ยังไม่เข้า","520004088813","B08099","สาขา มิตรภาพไลฟ์พาร์ค","RC","RC8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004088814","B08100","สาขา ช่องลม - ท่าฉลอม","BW","BW8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004088815","B08103","สาขา ประชาสงเคราะห์ 23 จุด 2","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088817","B08111","สาขา รีเจ้นท์สุขุมวิท","BS","BS5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-20","",""
"ยังไม่เข้า","520004088819","B08118","สาขา เจ็ดเสมียน","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004088821","B08120","สาขา ห้วยกระบอก","RSU","RSU6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088823","B08129","สาขา เทพกุญชร 36","BN","BN6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004088827","B08145","สาขา อาคารสมเด็จพระเทพรัตน์(ร.พ.รามา)","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ตรงแผน","520004088828","B08151","สาขา PTTOR เอปิโตรเลียม","RN","RN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 14:28:01","2024-07-03 15:24:26"
"ยังไม่เข้า","520004088836","B08168","สาขา โรงพยาบาลเกษมราษฏร์ประชาชื่น","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ตรงแผน","520004088838","B08170","สาขา ตลาดสุรนคร","NEL","NEL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-08 12:18:34","2024-07-08 13:02:34"
"ตรงแผน","520004088848","B08188","สาขา ลำลูกกาคลอง 7","BE","BE9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-05 12:25:41","2024-07-05 13:35:41"
"ยังไม่เข้า","520004088851","B08191","สาขา คลองแม่ลาย","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ตรงแผน","520004088853","B08195","สาขา ม.พฤกษา 45","BG","BG5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 04:32:55","2024-07-06 05:30:38"
"ยังไม่เข้า","520004088855","B08196","สาขา ชาติตระการ","RN","RN5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004088858","B08203","สาขา ปทุมรัตต์","NEL","NEL8SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-22","",""
"ยังไม่เข้า","520004088864","B08210","สาขา พลมานีย์ จุด 2","BS","BS8","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004088866","B08214","สาขา คณะเภสัชศาสตร์ ( ม.มหิดล )","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004088868","B08218","สาขา แมนฮัตตัน","BN","BN6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
